velocidade_linear,velocidade_angular,acceleração_linear,acceleração_angular,tempo
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:27
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:28
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
0.0,0.0,0,0,10:38:29
